vente_id,date,prix,rue,arrondissement,surface,pieces,longitude,latitude,prix_m2
2024-1210544,2024-01-04,570476.0,RUE POINSOT,14,46.0,2,2.32288,48.84086,12401.65
2024-1210551,2024-01-04,1460000.0,RUE DE LA BRECHE AUX LOUPS,12,148.0,6,2.39339,48.83713,9864.86
2024-1210554,2024-01-04,345000.0,RUE DE GRENELLE,7,31.0,1,2.30628,48.85756,11129.03
2024-1210574,2024-01-04,557500.0,RUE DU CHEMIN VERT,11,53.0,3,2.38286,48.86198,10518.87
2024-1210575,2024-01-04,515000.0,RUE DIDOT,14,54.0,3,2.31382,48.82668,9537.04
2024-1210604,2024-01-04,1114250.0,BD DE MONTMORENCY,16,83.0,3,2.26291,48.85232,13424.7
2024-1210640,2024-01-04,357000.0,RUE ANTOINE BOURDELLE,15,31.0,2,2.3199,48.84335,11516.13
2024-1210649,2024-01-04,430000.0,RUE DE VAUGIRARD,15,54.0,3,2.29831,48.83804,7962.96
2024-1210652,2024-01-04,1250000.0,RUE DU RENDEZ VOUS,12,147.0,5,2.40084,48.84716,8503.4
2024-1210683,2024-01-04,625000.0,RUE DE CHANALEILLES,7,43.0,3,2.31873,48.85296,14534.88
2024-1210705,2024-01-04,287000.0,RUE DU GAL CAMOU,7,40.0,2,2.29954,48.85908,7175.0
2024-1210717,2024-01-04,2123400.0,RUE ST DOMINIQUE,7,88.0,4,2.30671,48.85893,24129.55
2024-1210845,2024-01-04,155000.0,VC Y 12,12,13.0,1,2.40424,48.84242,11923.08
2024-1210866,2024-01-04,192500.0,RUE VILLIOT,12,15.0,1,2.37558,48.84202,12833.33
2024-1210918,2024-01-04,343650.0,RUE MARCELINE DESBORDESVALMORE,16,32.0,1,2.27766,48.86076,10739.06
2024-1211008,2024-01-04,792000.0,RUE BALARD,15,89.0,3,2.27775,48.84342,8898.88
2024-1211015,2024-01-04,170000.0,RUE D ALLERAY,15,15.0,1,2.3076,48.83603,11333.33
2024-1211029,2024-01-04,549950.0,BD DE MONTMORENCY,16,52.0,2,2.26291,48.85232,10575.96
2024-1211045,2024-01-04,810650.0,RUE BREGUET,11,64.0,2,2.37379,48.85738,12666.41
2024-1211244,2024-01-04,515000.0,RUE DE POISSY,5,40.0,2,2.35224,48.84818,12875.0
2024-1193222,2024-01-05,630000.0,QUAI DE LA SEINE,19,66.0,2,2.36959,48.88442,9545.45
2024-1193223,2024-01-05,173025.0,RUE DE L ADJUDANT REAU,20,17.0,1,2.40502,48.86737,10177.94
2024-1193229,2024-01-05,228000.0,RUE LETORT,18,26.0,2,2.34338,48.89457,8769.23
2024-1193230,2024-01-05,1067000.0,RUE DES DAMES,17,130.0,6,2.32126,48.88398,8207.69
2024-1193233,2024-01-05,195000.0,RUE FRAGONARD,17,25.0,1,2.31555,48.89448,7800.0
2024-1193246,2024-01-05,151000.0,RUE ETIENNE MAREY,20,17.0,1,2.40585,48.86855,8882.35
2024-1193258,2024-01-05,741000.0,RUE DE TURENNE,3,55.0,3,2.36444,48.86333,13472.73
2024-1193265,2024-01-05,280000.0,QUAI DE GESVRES,4,86.0,3,2.35046,48.85631,3255.81
2024-1193290,2024-01-05,233000.0,VLA FAUCHEUR,20,28.0,1,2.38641,48.87212,8321.43
